City,State,Station ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PAGO PAGO WSO AP,AS,AQW00061705,82.5,82.7,82.8,82.4,81.7,80.9,80.3,80.3,81,81.4,82,82.3
EGBERT 1 W,ON,CAW00064757,18.9,21.4,29.6,43.1,54.7,63.3,68.1,66.1,58.9,47.5,36.6,25.3
CAPITOL HILL 1,MP,CQC00914080,77.3,76.3,76.4,78.5,79.9,80.2,79.6,79.6,79.4,79.3,79.1,77.8
ROTA AP,MP,CQC00914801,78.8,78.2,79,80.1,81.1,81.7,81.1,80.8,80.8,80.8,80.6,80
KOSRAE,FM,FMC00914395,80,80.3,80.3,80.5,80.6,80.6,80.5,80.7,80.6,80.7,80.4,80
LUKUNOCH,FM,FMC00914419,81.7,81.7,81.8,81.8,81.9,81.9,81.8,81.8,82,81.9,82.2,81.9
MAAP,FM,FMC00914446,81.5,81.4,81.8,82.9,83.2,82.5,81.4,81,81.4,81.8,82.3,82
METALANIM,FM,FMC00914482,79.1,79.1,79.4,79.5,79.5,79.3,78.9,79.6,79.2,79.3,79.2,79.1
PINGELAP,FM,FMC00914720,81.6,82.2,82,81.9,82.2,82.1,81.7,81.8,81.9,81.9,81.6,81.9
POLOWAT,FM,FMC00914761,81.5,81.5,81.9,81.7,81.8,81.6,81.5,81.3,81.5,81.8,82,81.7
TAMIL,FM,FMC00914831,80.1,80,80.8,81.4,81.8,81.1,80.8,80.7,80.7,81.1,81.2,80.6
ULITHI,FM,FMC00914892,82.2,82,82.5,83.3,83.5,83,82.5,82.5,82.9,83.4,83.5,82.8
UTWA,FM,FMC00914898,81.1,81.6,81.5,81.2,81.6,81.3,81.4,81.4,81.5,81.7,81.7,81.3
WOLEAI ATOLL,FM,FMC00914911,81.5,81.1,81.1,81.7,81.6,81.2,81.2,81.1,81.2,81.5,81.6,81.6
YAP ISLAND WSO AP,FM,FMW00040308,82.2,82.2,82.6,83.4,83.7,83,82.5,82.4,82.6,82.8,82.9,82.6
POHNPEI WSO,FM,FMW00040504,80.7,80.9,81.1,81.1,81.2,81,80.8,81,80.8,80.8,80.9,80.7
CHUUK WSO AP,FM,FMW00040505,81.2,81.3,81.6,81.8,82.1,81.8,81.5,81.3,81.5,81.5,81.8,81.6
ANDERSEN AFB GUAM,GU,GQC00914025,79.3,79.1,79.7,80.9,81.9,82.1,81.2,81,81.2,81.3,81,80.2
GUAM INTL AP,GU,GQW00041415,80.2,79.9,80.7,81.9,82.6,82.6,81.9,81.4,81.4,81.7,81.8,81.2
JOHNSTON ISLAND,UM,JQW00021603,78.3,78.4,78.6,79.5,80.7,82.2,83,83.6,83.4,82.5,80.6,79.1
NEKKEN FORESTRY,PW,PSC00914519,79,79.1,79.4,80.4,80.6,80.1,79.8,80,80.2,79.9,80.1,79.8
PELELIU,PW,PSC00914712,79.1,78.9,79.4,80.2,80.2,79.2,79.2,79.6,80,80.1,80.3,79.5
KOROR WSO,PW,PSW00040309,81.4,81.3,81.7,82.3,82.4,81.6,81.3,81.5,81.7,82,82.4,81.9
KWAJALEIN,MH,RMW00040604,81.7,81.9,82.3,82.5,82.8,82.5,82.3,82.5,82.6,82.5,82.3,82
MAJURO WBAS AP,MH,RMW00040710,81.7,81.9,82.1,82.1,82.3,82.1,82.1,82.3,82.4,82.4,82.2,81.8
ADJUNTAS SUBSTN,PR,RQC00660061,66.6,66.5,67.4,69.2,71.2,72.9,73.1,73.1,72.8,71.9,70.6,68.1
AGUIRRE,PR,RQC00660152,76.5,76.5,76.8,78.3,80.2,81.4,81.7,82.1,81.4,80.6,79.4,77.4
AIBONITO 1 S,PR,RQC00660158,67.5,67.2,68.4,70.2,72.3,73.6,74.1,74.5,74,73.2,70.5,68.9
ARECIBO 3 ESE,PR,RQC00660410,75.1,73.6,75.2,77.1,78.9,80.1,80.7,80.8,81,80,77.6,76
ARECIBO OBSY,PR,RQC00660426,72.3,72.1,73.1,74.4,76.2,77.7,78,78.1,77.9,77,75.3,73.2
CAYEY 1 E,PR,RQC00661901,69.6,69.5,70.3,72.2,74.4,76.4,76.6,76.5,75.9,75.1,73.1,70.4
CERRO MARAVILLA,PR,RQC00662336,60.8,60.7,61.5,62.5,63.9,66.2,67,66.9,66.5,66.2,64,61.8
COLOSO,PR,RQC00662801,74.8,74.6,75.6,77.1,79.1,80.1,80.4,80.7,80.4,79.3,78.2,75.7
COROZAL SUBSTN,PR,RQC00662934,73.3,73.1,74.3,75.8,77.8,79.5,79.5,79.9,79.3,78.4,76.4,74.1
DORADO 2 WNW,PR,RQC00663409,72.1,72.7,74.1,76.9,78.8,80.1,79.5,80.2,79.9,77.9,77.9,75.4
DOS BOCAS,PR,RQC00663431,73.7,73.5,74.2,75.8,77.7,79.6,80,80.2,79.6,78.8,76.9,74.7
FAJARDO,PR,RQC00663657,76.6,76.7,77.4,79,80.7,82.1,82.4,82.3,81.7,81.1,79.7,77.9
GUAYAMA 2E,PR,RQC00664193,78.2,78.3,78.6,80.1,81.5,82.5,83,83.5,82.7,82.1,80.9,79.5
GURABO SUBSTN,PR,RQC00664276,73.7,73.7,74.9,76.9,79,80.5,80.5,80.8,80.4,79.6,77.6,75.1
ISABELA SUBSTN,PR,RQC00664702,73.9,74.2,74.9,76.2,77.8,79.1,79.4,80,79.6,79,77.3,75.4
JUNCOS 1 SE,PR,RQC00665064,74.2,74.2,75.2,77.1,79.2,80.5,80.8,80.9,80.7,79.8,77.6,75.2
LAJAS SUBSTN,PR,RQC00665097,74.6,74.4,75.5,77.3,79.5,80.8,81.1,81.1,80.7,79.7,78,75.3
MAGUEYES ISLAND,PR,RQC00665693,77.8,77.7,78.3,80.1,81.8,83.2,83.5,83.2,83.2,82.5,80.5,78.9
MANATI 2 E,PR,RQC00665807,74.4,74.3,75.2,76.5,78.5,80.3,80.5,80.8,80.4,79.5,77.5,75.4
MARICAO 2 SSW,PR,RQC00665908,69.1,68.5,69.9,70.1,71.8,73.6,73.4,73.9,73.6,72.9,71.6,69.5
MAYAGUEZ CITY,PR,RQC00666073,75.6,75.8,76.5,77.9,79.4,80.6,81,81,81,80.8,79.2,77.1
MONA ISLAND 2,PR,RQC00666258,77,76.6,77.4,79.1,80.7,82.4,82.5,82.9,82.2,81.3,79.9,77.9
PICO DEL ESTE,PR,RQC00666992,62.5,62.2,62.8,63.9,65.6,66.7,67.1,67.8,68,67.4,65.8,63.7
PONCE 4 E,PR,RQC00667292,77,76.7,77.1,78.7,80.4,81.9,82.3,82.5,81.9,81.1,79.7,77.9
RINCON,PR,RQC00668126,74.9,76.1,76.3,77.9,80.2,81,81.4,81,81.1,79.1,78.3,76.8
RIO PIEDRAS EXP STN,PR,RQC00668306,75.5,75.6,76.6,77.9,79.9,81.4,81.5,81.9,81.5,80.9,78.7,76.6
SAN SEBASTIAN 2 WNW,PR,RQC00668881,75.3,75.1,76.3,77.6,79.5,80.5,80.5,80.4,80.3,79.7,78.3,76.4
TRUJILLO ALTO 2 SSW,PR,RQC00669521,75.7,75.6,76.4,78,79.8,81.3,81.4,81.6,81.6,80.8,78.8,76.5
UTUADO,PR,RQC00669608,72.3,71.8,72.7,74.1,76.5,77.5,78.2,78.3,78,77.3,75.5,73.3
BORINQUEN AP,PR,RQW00011603,75.8,75.9,76.6,78.1,79.3,81,80.9,81.4,81.1,80.2,79,77
ROOSEVELT ROADS,PR,RQW00011630,77.7,77.5,78.4,79.9,81.3,82.9,83.4,83.7,82.9,82.1,80.4,78.7
SAN JUAN L M MARIN AP,PR,RQW00011641,77.6,77.9,78.9,80.3,81.9,83.3,83.4,83.7,83.5,82.6,80.6,78.7
ADDISON,AL,USC00010063,39.7,43.7,51.5,59.6,67.8,74.9,78.4,78.3,71.8,60.7,51.5,42.3
ALEXANDER CITY,AL,USC00010160,43.4,47,54.4,61.3,69.6,76.7,80.1,79.2,73.4,63,54,45.6
ALICEVILLE,AL,USC00010178,43.4,47.2,55.3,62.7,70.5,78.1,80.9,80.5,74.7,63.7,54.3,45.8
ANDALUSIA 3 W,AL,USC00010252,46.6,50.2,56.5,62.5,70.5,77.3,79.6,79.3,74.7,64.8,56,48.8
ANDERSON,AL,USC00010260,37.7,41.3,50.1,58.8,67.1,74.7,78.5,77.8,71.2,60,50,40.4
ASHLAND 3 ENE,AL,USC00010369,42,45.9,52.9,59.9,67.8,74.7,78,77.6,71.6,61.4,52.7,44.1
ATHENS,AL,USC00010390,40.2,44.5,52,60.4,68.8,76.1,79.5,79.1,73,61.6,51.7,42.9
ATMORE,AL,USC00010402,48.1,51.7,58.6,65.1,73.2,79,81.1,80.6,76.2,67,58.1,50.3
Auburn,AL,USC00010425,44.9,49.8,55.7,62.5,70.7,77.5,80.4,79.5,74.4,64.3,55.2,46.7
AUBURN AGRONOMY FARM,AL,USC00010430,45,48.8,56,62.9,71.4,77.7,80.6,80.2,75.1,65.8,56.4,47.3
BANKHEAD LOCK & DAM,AL,USC00010505,42.8,47,54,61.4,69.8,77.4,80.6,80.2,74.3,63.5,54.1,45.4
BAY MINETTE,AL,USC00010583,49.5,53,59.5,66.2,73.7,79.3,81.2,81,77,67.8,59.2,51.6
BELLE MINA 2 N,AL,USC00010655,38.7,42.4,50.4,58.8,67.7,75.2,78.3,77.6,71.1,60.1,50.1,41.2
BESSEMER 3 WSW,AL,USC00010764,43.2,47.2,54.5,61.9,70.3,77.1,80.5,80.1,74.1,63.3,53.7,45.5
BREWTON 3 ENE,AL,USC00011080,47.5,50.9,57.7,63.9,72.2,78.5,80.6,80.1,75.6,65.7,57,49.6
BREWTON 3 SSE,AL,USC00011084,49.1,52.5,58.7,64.7,72.4,78.6,80.9,80.7,75.8,66.1,57.6,50.7
BRIDGEPORT 5 NW,AL,USC00011099,38.1,42.5,50.3,58.7,66.9,74.3,78,77.2,70.8,59.3,50,40.6
CAMDEN 3 NW,AL,USC00011301,46,49.9,57.5,64.5,72.3,78.8,81,80.7,75.9,65.6,56.2,48.2
CAMP HILL 2NW,AL,USC00011324,40.8,46,52.8,59.6,67.7,75.1,78.5,77.5,72.4,60.8,52.2,43.9
CENTRE,AL,USC00011490,39.3,42.9,51.1,59.1,67,75,78.6,77.9,71.8,60.5,50.7,41.5
CHATOM,AL,USC00011566,46.3,49.8,57,64.1,71.8,77.6,80.6,80.1,74.9,65.2,56.2,48.5
CHILDERSBURG WTR PL,AL,USC00011620,44.7,48.6,55.8,62.7,70.3,77,80,79.3,73.7,63.5,54.4,46.8
CLANTON,AL,USC00011694,43.1,46.9,54.5,61.4,69.7,76.4,79.6,78.9,73.2,62.7,53.4,45.4
CLAYTON,AL,USC00011725,44.9,48.9,55.8,62.1,70.1,76.9,79.3,78.6,73.8,64.3,55.6,47.4
CODEN,AL,USC00011803,49.2,52.3,58,64.6,72.2,77.9,80.1,80,76.1,67.3,58.5,51.6
CULLMAN NAHS,AL,USC00012096,39.4,43.2,50.7,58.7,66.9,74.4,77.9,77.5,71.5,60.4,50.9,41.8
DAUPHIN ISLAND #2,AL,USC00012172,52.2,55,61.3,68.3,76.3,81.6,83.5,83.5,80.4,71.9,62.9,55
DECATUR 5SE,AL,USC00012209,41.3,45.1,52.8,61.4,68.8,76,79.2,79.2,72.9,62.5,52.3,43.7
DEMOPOLIS L&D,AL,USC00012245,43.5,47.3,54.7,62.1,70.6,77.1,79.9,79.5,74,63.5,54,45.7
ENTERPRISE 4 W,AL,USC00012675,49,53,59.5,65.7,73.7,79.5,81.4,81,76.9,68,59.3,51.4
EUFAULA WILDLIFE REF,AL,USC00012730,48.2,52,58.7,64.7,72.8,79.7,82.3,81.7,76.7,66.7,57.8,50.3
EVERGREEN,AL,USC00012758,47.2,50.7,57.5,64,72.1,78.3,80.5,80.2,75.7,66.1,56.9,49.4
FAIRHOPE 2 NE,AL,USC00012813,50.4,53.7,60,66.3,74.1,79.9,81.9,81.7,77.7,68.7,60.2,52.7
FALKVILLE 1 E,AL,USC00012840,39.7,43.5,51.7,59.4,67.5,75.1,79.1,78.5,71.2,60.2,50.9,41.4
FAYETTE,AL,USC00012883,43.3,47.6,54.8,62.2,70,77.7,81.1,80.2,74,63,53.5,45.6
FT PAYNE,AL,USC00013043,40.6,44.4,52.6,60.1,68.5,76,79.4,79.3,73.2,62.2,52.1,42.9
FRISCO CITY 3 SSW,AL,USC00013105,47.6,51.2,57.6,64.5,72.7,78.1,80.3,79.8,75.6,66,57.4,49.5
Gadsden,AL,USC00013154,41.3,45.4,53.4,61.5,69.8,77.1,80.7,80,73.8,62.9,52.5,44
